time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.988228691400155e-08,-8.938045994217144e-08,10.00297122139297,6.282939507687216,6.2830412726173,0.0,9.496288564476068e-06,-1.3858657884679224e-05,0.09903652371573188,-0.0139006778745119,-0.007695594839519069,0.0,435.88842038105696,435.244999291645,438.1972397559186,437.0404505724375
0.12000000000000001,4.8023844074614905e-06,-7.90645073538722e-06,10.009485319510533,6.282427907605918,6.282623498601403,0.0,0.0001874733715454062,-0.00030572474704612044,0.11809805182124772,0.0004945534261098445,-0.00553632861717151,0.0,410.6333905400561,410.8249617166983,409.49585157538814,410.774250782132
0.18,2.92723369609458e-05,-4.208503256504703e-05,10.019982887877784,6.282068117309713,6.282122153407325,0.0,0.0006708148141594694,-0.0008455340264209067,0.23180387544104022,-0.023964293868354206,-0.014693473090592761,0.0,442.05668029032347,441.3017063107435,441.8331474497857,439.81244968242976
0.23999999999999996,0.00010173039381739238,-0.00012950265861011442,10.042714789443242,6.280282938427311,6.281450543522919,0.0,0.0018448570582307747,-0.0022741283151273533,0.5258368734992915,-0.045023703522052295,-0.0049798500645631336,0.0,494.3185281359084,495.0338266619426,495.580514039186,494.0301615887693
0.3,0.0002482911420040501,-0.00033441744597879203,10.076702820182783,6.277369720124344,6.28070514725497,0.0,0.003084958224314481,-0.004833649383355115,0.6070561980309522,-0.0567583080405442,-0.03464062655664519,0.0,432.87871430132867,430.37592331541873,431.27723540843647,430.2835302973338
0.36000000000000004,0.0004980094352672701,-0.0007694072213106433,10.118070926759513,6.274498914782747,6.278762329429561,0.0,0.00546269065467134,-0.010010850583003774,0.7717804289231639,-0.03425050416968489,-0.028205561395899685,0.0,456.7946452209339,457.30707242582787,456.82623475020904,458.61573806103564
0.4200000000000001,0.0009457200544396406,-0.001599276102653192,10.17202321262291,6.272622063064331,6.276919356400329,0.0,0.009680180815439308,-0.01789450510695182,1.0264320643850633,-0.02592079072405381,-0.03627986057975615,0.0,483.92871512891304,483.32039407656083,484.3317984442246,484.957523273801
0.48000000000000015,0.0016571686033338294,-0.002885916832722851,10.235575322375004,6.2706945933819735,6.274992659610161,0.0,0.014232119079489784,-0.025157299717058372,1.0919076958760996,-0.048947107585805574,-0.02486286940110522,0.0,426.8196977669761,427.7923993314656,427.4782613741498,425.511271158577
0.5400000000000001,0.002696881982759091,-0.004681101767602043,10.305357950998587,6.267331763164259,6.273372644710623,0.0,0.020591771104444608,-0.03501433730187105,1.2340308483379907,-0.07662189414185691,-0.03165925826307925,0.0,452.21025529962156,451.66235513132534,451.7749932746184,449.5359174834907
0.6000000000000002,0.004187625770173073,-0.0072013486646776165,10.38685705664042,6.262903885023855,6.271550065357344,0.0,0.029327289271483092,-0.049547683191258685,1.4823051847132478,-0.06867885812092543,-0.027926964940116095,0.0,483.4772473679333,483.75811592298294,482.48072358393097,483.0761808665926
0.6600000000000003,0.006184423122776501,-0.010592539480543131,10.47800802716808,6.258541882405165,6.270135439321109,0.0,0.03738187782505901,-0.06390450146377859,1.5559514226500801,-0.08227858713182118,-0.016053228461940777,0.0,430.1152745865568,431.11950901806716,431.39391827249506,430.23975590377967
0.7200000000000003,0.00868341804120793,-0.014922152277064744,10.573081725034976,6.253541417959543,6.269465715303475,0.0,0.04599357498447391,-0.08088909810316913,1.6130782547650258,-0.08555402391662048,-0.0028357211957269644,0.0,426.04549647845494,427.174106474254,424.7251666865608,424.4381466829008
0.7800000000000004,0.011757219715584225,-0.020474367928463508,10.67504109567964,6.248082387129482,6.269189573491133,0.0,0.056487759674150005,-0.1047702800578587,1.7852939106852999,-0.104978279259755,-0.008393227745883487,0.0,461.769792680383,461.3312998690806,463.0001823060651,461.4627485647888
0.8400000000000004,0.015511178716596121,-0.02770073869443946,10.79040647349066,6.241528448019739,6.269048381083387,0.0,0.06867619970719589,-0.13691132041274454,2.0597321011332537,-0.11948578975152345,0.00759686813711508,0.0,491.435583778998,492.61935094101347,493.10803546626767,492.0258682941529
0.9000000000000005,0.019939641875583853,-0.03685963752247415,10.918289051232438,6.234591311655798,6.270143371810839,0.0,0.07884500709343834,-0.16913719527307705,2.2027200983451647,-0.10883690268170032,0.03382310327430067,0.0,453.5106633683155,455.6121793659564,454.2969841221736,455.13830701298235
0.9600000000000005,0.024978207412776895,-0.048225162527270944,11.057222056477798,6.228395667680218,6.273200247911806,0.0,0.08877918210916573,-0.21045599162450493,2.4278899457033147,-0.09396077015500809,0.07263579527054362,0.0,477.2223181926106,480.17688171084177,480.31051831657834,481.4288369298556
1.0200000000000005,0.03048949308175493,-0.0619767688977581,11.205346045615805,6.222560987420067,6.277709870975466,0.0,0.09448705340894288,-0.24848993778709794,2.5093672636385085,-0.1047828320100312,0.07978132347738127,0.0,436.21649940719533,436.8173018235728,438.1244183063948,437.21540660908244
1.0800000000000005,0.036246371827856824,-0.07806844289765798,11.357356855465586,6.21649370073327,6.282258818070169,0.0,0.09696534633945972,-0.2884749705879268,2.5575121515457493,-0.09465837280007429,0.06639708051252961,0.0,427.31965738845327,426.1819468680436,426.4032979831402,427.25795650068443
1.1400000000000006,0.042067252730603494,-0.09665181639098161,11.511930050702071,6.210533157389785,0.002563135014169049,0.0,0.09670697978034394,-0.3315033744554092,2.5947989959586035,-0.11089997661629485,0.031614256150741274,0.0,424.963927077604,421.9742188567628,424.3412525399667,422.93552420480603
